userName,score,at,content
El Aijaz,1,2026-04-30 09:26:12,"unor teruuuuuuus.... giliran mau absen plng eror, pas nyampe rmh bs, diaaableeeg"
Burhan Nudin,5,2026-04-30 00:50:18,Baik sih cuman sering gangian mulu jadi sering ga bisa absen mohon di perbaiki kembali
RAZOR GAMING,1,2026-04-29 09:12:27,aplikasi gjls
Suwarno,5,2026-04-29 01:28:08,good
Dodi Hardiansah,5,2026-04-29 00:55:09,mantap dah
Januar Joker,5,2026-04-28 23:08:55,semoga lancar dan sukses
Njay Jay,5,2026-04-27 03:37:59,Bagus
hari supriatna,5,2026-04-23 02:35:30,top
Hidayat Dayat,2,2026-04-23 02:28:15,sering eror 🤦🏻‍♀️🤦🏻‍♀️
Mukhlis Al Ulum,5,2026-04-23 02:24:52,Kehadiran
Keluarga DDT Channel,5,2026-04-23 02:14:47,memudahkan
Han,4,2026-04-23 01:57:17,bermanfaat buat PW. PP. PNS
M Soleh,5,2026-04-09 04:39:21,👍👍👍
Aris Firmansyah,1,2026-04-09 00:39:35,habis update malah ERROR
Ulfa teh,2,2026-04-09 00:37:51,"TOLONG LARANG penggunaan ""FAKE GPS"" di SIMPEG TERKINI. Kembalikan ke pengaturan SIMPEG sebelumnya yang tidak bisa menggunakan FAKE GPS !!! Akhirnya banyak yang menyalahgunakan aplikasinya. Orangnya tidak ada di kantor tapi dapat melakukan ABSEN/PRESENSI MOHON KEPADA DEVELOPER FIX BUG ini thankyou"
Agust Adi Pradana,1,2026-03-31 08:06:36,NIP TIDAK DITEMUKAN 🤦‍♂️🤦‍♂️🤦‍♂️
Qilarahma Channel,1,2026-03-25 23:54:53,"Mohon maaf Aplikasi nya logout sndiri.. udah beberapa minggu lalu, mau masuk/login tdk bisa2. sdh cb d update aplikasi versi 4.0 terbaru, ttp aja gabisa masuk/login, keterangan ""NIP tdk ditemukan"" gto melulu, wlwlpn d reset device jg sama aja gabisa masuk/login. Aplikasinya Kendor, Kedodoran, Kondor. Mohon Solusinya... Mohon Solusinya... Mohon Solusinya..."
Hafid Hafid,1,2026-03-24 10:03:00,eror terus mungkin adminya kurang pro dan kurang honor juga
Aries Suseno JB Smart,5,2026-03-18 08:05:48,Perangkat Absen lebih akurat
